Insee - Statistiques locales; ; 
Référentiel géographique : France par intercommunalité; ; 
Code;Libellé;Densité de population (historique depuis 1876) 2018
200065928;CA Lannion-Trégor Communauté;110
200066009;CA Mulhouse Alsace Agglomération;624.1
200066017;CC Lieuvin Pays d'Auge;49.9
200066025;CC Pays Rhin - Brisach;101.4
200066033;CC Sud Alsace Largue;97
200066041;CC Sundgau;109.8
200066058;CA Saint-Louis Agglomération;299.6
200066108;CC des Portes de Meuse;21.9
200066116;CC Argonne-Meuse;14.4
200066124;CA Gaillac-Graulhet;63.5
200066132;CC du Pays de Stenay et du Val Dunois;21.9
200066140;CC de l'Aire à l'Argonne;9.8
200066157;CC de Commercy - Void - Vaucouleurs;31.4
200066165;CC Val de Meuse - Voie Sacrée;26.1
200066173;CC de Damvillers Spincourt;16.7
200066223;CC Arize Lèze;28.5
200066231;CC des Portes d'Ariège Pyrénées;95.2
200066280;CC du Pithiverais;59.6
200066322;CC Terres des Confluences;91.8
200066330;CC Terres du Haut Berry;38
200066348;CC du Minervois au Caroux;18.6
200066355;CA Sète Agglopôle Méditerranée;403.9
200066363;CC de la Haute Ariège;6.3
200066371;CC Causses et Vallée de la Dordogne;35
200066389;CA Saint-Lô Agglo;92.7
200066405;CC Roumois Seine;120.4
200066413;CC Intercom Bernay Terres de Normandie;60
200066462;CC Interco Normandie Sud Eure;47.5
200066512;CC Élan Limousin Avenir Nature;45.5
200066520;CC Ouest Limousin;27
200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;10.1
200066561;CC Sidobre Vals et Plateaux;27.1
200066587;CC des Monts du Lyonnais;88.4
200066603;CC du Pays de Lubersac-Pompadour;29.6
200066637;CC Hautes Terres Communauté;12.8
200066645;CC Vézère-Monédières-Millesources;9.8
200066652;CC Grand Sud Tarn et Garonne;96.7
200066660;CC Saint-Flour Communauté;17.2
200066678;CC de la Châtaigneraie Cantalienne;20
200066710;CC Cingal-Suisse Normande;62.9
200066728;CC Vallées de l'Orne et de l'Odon;195.1
200066744;CC Haute-Corrèze Communauté;18.4
200066751;CC Xaintrie Val'Dordogne;17.5
200066769;CC Midi Corrézien;33.4
200066777;CC Ploërmel Communauté;52.2
200066785;CC de l'Oust à Brocéliande;60.9
200066793;CA du Grand Annecy;395.7
200066801;CC Isigny-Omaha Intercom;45.9
200066819;CC du Volvestre;73.9
200066827;CC du Pays de Honfleur-Beuzeville;140.5
200066835;CC de Sézanne-Sud Ouest Marnais;28
200066850;CC des Paysages de la Champagne;36.3
200066868;CC Presqu'île de Crozon-Aulne maritime;80.5
200066876;CA de Châlons-en-Champagne;98.1
200066884;CC Quercy Vert-Aveyron;66
200066892;CC de Vendeuvre-Soulaines;17.1
200066918;CA Alès Agglomération;141.1
200066926;CA Grand Auch Cœur de Gascogne;64.7
200066975;CC Senlis Sud Oise;119.7
200067023;CC Coutances Mer et Bocage;74.4
200067031;CC Côte Ouest Centre Manche;45.3
200067049;CC Spelunca-Liamone;8.3
200067064;CC Decazeville Communauté;100
200067072;CC Haut-Léon Communauté;128.5
200067080;CC Chablis Villages et Terroirs;25.2
200067106;CA du Pays Basque;105.2
200067114;CA de l'Auxerrois;156.8
200067122;CC Coteaux et Plaines du Pays Lafrançaisain;49.8
200067130;CC de Puisaye-Forterre;19.5
200067155;CC Saint Affricain, Roquefort, Sept Vallons;31.6
200067163;CC Monts, Rance et Rougier;9.6
200067171;CC Aubrac, Carladez et Viadène;11.8
200067189;CC Creuse Sud Ouest;14.9
200067197;CC Monts d'Arrée Communauté;19.5
200067205;CA du Cotentin;124.7
200067213;CU du Grand Reims;206.6
200067239;CC des Luys en Béarn;54.5
200067247;CC Pleyben-Châteaulin-Porzay;53.7
200067254;CA Pau Béarn Pyrénées;471.1
200067262;CC du Haut-Béarn;30.2
200067288;CC du Béarn des Gaves;39.5
200067296;CC du Nord Est Béarn;59.2
200067304;CC Serein et Armance;51.4
200067320;CC Serre-Ponçon Val d'Avance;31.2
200067346;CA Pornic Agglo Pays de Retz;121.7
200067361;CC Grand-Figeac;34
200067379;CC Côtes de Champagne et Val de Saulx;26
200067429;CC Haut Nivernais-Val d'Yonne;24.3
200067437;CA Provence-Alpes-Agglomération;30.1
200067445;CC Buëch-Dévoluy;13.1
200067452;CC du Guillestrois et du Queyras;9.7
200067460;CC Loudéac Communauté - Bretagne Centre;43.8
200067478;CC Comtal Lot et Truyère;30
200067486;CC Bouzonvillois-Trois Frontières;73.1
200067502;CA Saint-Avold Synergie;152.3
200067544;CC Creuse Confluence;16.8
200067551;CA Thonon Agglomération;371.3
200067593;CC Marche et Combraille en Aquitaine;14
200067627;CC Billom Communauté;93.1
200067635;CA Clisson Sèvre et Maine Agglo;179.1
200067643;CC Meurthe Mortagne Moselle;62
200067650;CC Houve-Pays Boulageois;91.6
200067668;CC de la Cléry, du Betz et de l'Ouanne;40.5
200067676;CC Canaux et Forêts en Gâtinais;36.6
200067684;CA Épernay, Coteaux et Plaine de Champagne;80.8
200067692;CC Tannay-Brinon-Corbigny;12.8
200067700;CC Sud Nivernais;39.3
200067742;CC Serre-Ponçon;27.1
200067759;CC Vallées et Plateau d'Ardenne;60.3
200067767;CC du Royans-Vercors;20.1
200067783;CC de Hanau-La Petite Pierre;74.3
200067791;CA Pays Foix-Varilhes;71.7
200067817;CC Saône-Beaujolais;82
200067825;CA Gap-Tallard-Durance;143.1
200067841;CC de l'Alsace Bossue;64.5
200067866;CC Sèvre et Loire;173.1
200067874;CA de Haguenau;242.3
200067882;CC Bazois Loire Morvan;12.8
200067890;CC Morvan Sommets et Grands Lacs;12.8
200067908;CC Amognes Cœur du Nivernais;13.3
200067916;CC Cœur de Loire;35.2
200067924;CC du Canton d'Erstein;178.4
200067932;CA Golfe du Morbihan - Vannes Agglomération;210.3
200067940;CC Couserans-Pyrénées;18.3
200067957;CC Haut Chemin-Pays de Pange;74.5
200067965;CA de la Région de Compiègne et de la Basse Automne;314.2
200067973;CC Thelloise;194.5
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;66.3
200067999;CA du Beauvaisis;191.5
200068005;CC de l'Oise Picarde;53.2
200068047;CA Creil Sud Oise;1042.5
200068070;CC Loue-Lison;38
200068088;CC Les Bertranges;34
200068096;CC Champsaur-Valgaudemar;14.6
200068104;CA de la Provence Verte;104.7
200068112;CC du Pays de Saverne;146.7
200068120;CA Quimper Bretagne Occidentale;209.9
200068146;CC Sarrebourg Moselle Sud;56.3
