Insee - Statistiques locales; ; 
Référentiel géographique : France par intercommunalité; ; 
Code;Libellé;Population municipale 2019
200066322;CC Terres des Confluences;41834
200066330;CC Terres du Haut Berry;26060
200066348;CC du Minervois au Caroux;14528
200066355;CA Sète Agglopôle Méditerranée;126376
200066363;CC de la Haute Ariège;7088
200066371;CC Causses et Vallée de la Dordogne;45062
200066389;CA Saint-Lô Agglo;76116
200066405;CC Roumois Seine;41071
200066413;CC Intercom Bernay Terres de Normandie;54829
200066462;CC Interco Normandie Sud Eure;38141
200066512;CC Élan Limousin Avenir Nature;27765
200066520;CC Ouest Limousin;11306
200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;7985
200066561;CC Sidobre Vals et Plateaux;12467
200066587;CC des Monts du Lyonnais;35108
200066603;CC du Pays de Lubersac-Pompadour;7495
200066637;CC Hautes Terres Communauté;11554
200066645;CC Vézère-Monédières-Millesources;4976
200066652;CC Grand Sud Tarn et Garonne;42544
200066660;CC Saint-Flour Communauté;23515
200066678;CC de la Châtaigneraie Cantalienne;21099
200066710;CC Cingal-Suisse Normande;24516
200066728;CC Vallées de l'Orne et de l'Odon;25690
200066744;CC Haute-Corrèze Communauté;33102
200066751;CC Xaintrie Val'Dordogne;11298
200066769;CC Midi Corrézien;12956
200066777;CC Ploërmel Communauté;42024
200066785;CC de l'Oust à Brocéliande;39069
200066793;CA du Grand Annecy;207301
200066801;CC Isigny-Omaha Intercom;26543
200066819;CC du Volvestre;30344
200066827;CC du Pays de Honfleur-Beuzeville;27125
200066835;CC de Sézanne-Sud Ouest Marnais;21268
200066850;CC des Paysages de la Champagne;21053
200066868;CC Presqu'île de Crozon-Aulne maritime;22441
200066876;CA de Châlons-en-Champagne;79618
200066884;CC Quercy Vert-Aveyron;22349
200066892;CC de Vendeuvre-Soulaines;7617
200066918;CA Alès Agglomération;131290
200066926;CA Grand Auch Cœur de Gascogne;38899
200066975;CC Senlis Sud Oise;24171
200067023;CC Coutances Mer et Bocage;47784
200067031;CC Côte Ouest Centre Manche;21931
200067049;CC Spelunca-Liamone;7562
200067064;CC Decazeville Communauté;18634
200067072;CC Haut-Léon Communauté;31760
200067080;CC Chablis Villages et Terroirs;14823
200067106;CA du Pays Basque;315195
200067114;CA de l'Auxerrois;67651
200067122;CC Coteaux et Plaines du Pays Lafrançaisain;11058
200067130;CC de Puisaye-Forterre;33941
200067155;CC Saint Affricain, Roquefort, Sept Vallons;13639
200067163;CC Monts, Rance et Rougier;6261
200067171;CC Aubrac, Carladez et Viadène;10090
200067189;CC Creuse Sud Ouest;13500
200067197;CC Monts d'Arrée Communauté;7640
200067205;CA du Cotentin;178600
200067213;CU du Grand Reims;296154
200067239;CC des Luys en Béarn;28680
200067247;CC Pleyben-Châteaulin-Porzay;22846
200067254;CA Pau Béarn Pyrénées;161706
200067262;CC du Haut-Béarn;32082
200067288;CC du Béarn des Gaves;17413
200067296;CC du Nord Est Béarn;34506
200067304;CC Serein et Armance;23930
