NOM;ANNREF;GEOGRAPHIE;D_0041_DIM1;D_0041_MOD_DIM1;D_0041_LIB_DIM1;D_0041_DIM2;D_0041_MOD_DIM2;D_0041_LIB_DIM2;D_0041_DIM3;D_0041_MOD_DIM3;D_0041_LIB_DIM3;VALEUR;QUALITE
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;002;Février;371;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;002;Février;280113;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;002;Février;3015;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;002;Février;858;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;002;Février;9235;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;003;Mars;315542;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;003;Mars;314453;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;003;Mars;5785;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;003;Mars;202;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;003;Mars;293446;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;003;Mars;4396;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;003;Mars;1089;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;003;Mars;10624;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;004;Avril;292407;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;004;Avril;291534;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;004;Avril;5856;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;004;Avril;326;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;004;Avril;272970;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;004;Avril;3624;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;004;Avril;873;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;004;Avril;8758;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;005;Mai;288569;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;005;Mai;287586;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;005;Mai;5757;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;005;Mai;249;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;005;Mai;266993;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;005;Mai;4917;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;005;Mai;982;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;005;Mai;9672;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;006;Juin;262206;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;006;Juin;261445;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;006;Juin;5834;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;006;Juin;206;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;006;Juin;243846;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;006;Juin;3818;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;006;Juin;761;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;006;Juin;7741;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;007;Juillet;264152;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;007;Juillet;263258;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;007;Juillet;6864;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;007;Juillet;212;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;007;Juillet;239769;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;007;Juillet;4887;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;007;Juillet;895;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;007;Juillet;11526;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;008;Août;267181;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;008;Août;266368;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;008;Août;7031;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;008;Août;191;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;008;Août;245212;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;006;__Lait aromatisé;;008;Août;4167;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;008;_Laits conditionnés chèvre;;008;Août;813;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;007;__Lait liquide infantile (1);;008;Août;9768;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;001;Laits conditionnés (tous laits);;009;Septembre;278389;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;002;_Laits conditionnés vache;;009;Septembre;277444;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;003;__Lait pasteurisé conditionné;;009;Septembre;5961;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;004;__Lait stérilisé conditionné;;009;Septembre;249;OUI
D_0041;2014;FRANCE métropolitaine;;001;Fabrications mensuelles de laits conditionnés (1000 litres);;005;__Lait UHT conditionné;;009;Septembre;255479;OUI
