NOM;ANNREF;FRANCE;FRDOM;REGION;DEP;G_0044_DIM1;G_0044_MOD_DIM1;G_0044_LIB_DIM1;G_0044_DIM2;G_0044_MOD_DIM2;G_0044_LIB_DIM2;VALEUR;QUALITE
G_0044;2010;FR;METRO;R21;............;Cheptel;001;Ensemble des structures collectives;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;OUI
G_0044;2010;FR;METRO;R21;............;Cheptel;001;Ensemble des structures collectives;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;OUI
G_0044;2010;FR;METRO;R21;............;Cheptel;003;Vaches nourrices;Indicateur;001;Nombre de structures collectives;;NON
G_0044;2010;FR;METRO;R21;............;Cheptel;003;Vaches nourrices;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;NON
G_0044;2010;FR;METRO;R21;............;Cheptel;003;Vaches nourrices;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;NON
G_0044;2010;FR;METRO;R21;............;Cheptel;004;Autres bovins;Indicateur;001;Nombre de structures collectives;;OUI
G_0044;2010;FR;METRO;R21;............;Cheptel;004;Autres bovins;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;OUI
G_0044;2010;FR;METRO;R21;............;Cheptel;004;Autres bovins;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;OUI
G_0044;2010;FR;METRO;R21;............;Cheptel;005;Equidés;Indicateur;001;Nombre de structures collectives;3;OUI
G_0044;2010;FR;METRO;R21;............;Cheptel;005;Equidés;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;14;OUI
G_0044;2010;FR;METRO;R21;............;Cheptel;005;Equidés;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));1440;OUI
G_0044;2010;FR;METRO;R21;............;Cheptel;006;Ovins;Indicateur;001;Nombre de structures collectives;;NON
G_0044;2010;FR;METRO;R21;............;Cheptel;006;Ovins;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;NON
G_0044;2010;FR;METRO;R21;............;Cheptel;006;Ovins;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;NON
G_0044;2010;FR;METRO;R21;08;Cheptel;001;Ensemble des structures collectives;Indicateur;001;Nombre de structures collectives;;OUI
G_0044;2010;FR;METRO;R21;08;Cheptel;001;Ensemble des structures collectives;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;OUI
G_0044;2010;FR;METRO;R21;08;Cheptel;001;Ensemble des structures collectives;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;OUI
G_0044;2010;FR;METRO;R21;08;Cheptel;003;Vaches nourrices;Indicateur;001;Nombre de structures collectives;;NON
G_0044;2010;FR;METRO;R21;08;Cheptel;003;Vaches nourrices;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;NON
G_0044;2010;FR;METRO;R21;08;Cheptel;003;Vaches nourrices;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;NON
G_0044;2010;FR;METRO;R21;08;Cheptel;004;Autres bovins;Indicateur;001;Nombre de structures collectives;;OUI
G_0044;2010;FR;METRO;R21;08;Cheptel;004;Autres bovins;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;OUI
G_0044;2010;FR;METRO;R21;08;Cheptel;004;Autres bovins;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;OUI
G_0044;2010;FR;METRO;R21;08;Cheptel;005;Equidés;Indicateur;001;Nombre de structures collectives;;NON
G_0044;2010;FR;METRO;R21;08;Cheptel;005;Equidés;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;NON
G_0044;2010;FR;METRO;R21;08;Cheptel;005;Equidés;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;NON
G_0044;2010;FR;METRO;R21;08;Cheptel;006;Ovins;Indicateur;001;Nombre de structures collectives;;NON
G_0044;2010;FR;METRO;R21;08;Cheptel;006;Ovins;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;NON
G_0044;2010;FR;METRO;R21;08;Cheptel;006;Ovins;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;NON
G_0044;2010;FR;METRO;R21;51;Cheptel;001;Ensemble des structures collectives;Indicateur;001;Nombre de structures collectives;;NON
G_0044;2010;FR;METRO;R21;51;Cheptel;001;Ensemble des structures collectives;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;NON
G_0044;2010;FR;METRO;R21;51;Cheptel;001;Ensemble des structures collectives;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;NON
G_0044;2010;FR;METRO;R21;51;Cheptel;004;Autres bovins;Indicateur;001;Nombre de structures collectives;;NON
G_0044;2010;FR;METRO;R21;51;Cheptel;004;Autres bovins;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;NON
G_0044;2010;FR;METRO;R21;51;Cheptel;004;Autres bovins;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;NON
G_0044;2010;FR;METRO;R21;51;Cheptel;005;Equidés;Indicateur;001;Nombre de structures collectives;;NON
G_0044;2010;FR;METRO;R21;51;Cheptel;005;Equidés;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;NON
G_0044;2010;FR;METRO;R21;51;Cheptel;005;Equidés;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;NON
G_0044;2010;FR;METRO;R22;............;Cheptel;001;Ensemble des structures collectives;Indicateur;001;Nombre de structures collectives;11;OUI
G_0044;2010;FR;METRO;R22;............;Cheptel;001;Ensemble des structures collectives;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;3548;OUI
G_0044;2010;FR;METRO;R22;............;Cheptel;001;Ensemble des structures collectives;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));272355;OUI
G_0044;2010;FR;METRO;R22;............;Cheptel;004;Autres bovins;Indicateur;001;Nombre de structures collectives;6;OUI
G_0044;2010;FR;METRO;R22;............;Cheptel;004;Autres bovins;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;392;OUI
G_0044;2010;FR;METRO;R22;............;Cheptel;004;Autres bovins;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));24225;OUI
G_0044;2010;FR;METRO;R22;............;Cheptel;005;Equidés;Indicateur;001;Nombre de structures collectives;;NON
G_0044;2010;FR;METRO;R22;............;Cheptel;005;Equidés;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;NON
G_0044;2010;FR;METRO;R22;............;Cheptel;005;Equidés;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;NON
G_0044;2010;FR;METRO;R22;............;Cheptel;006;Ovins;Indicateur;001;Nombre de structures collectives;;NON
G_0044;2010;FR;METRO;R22;............;Cheptel;006;Ovins;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;NON
G_0044;2010;FR;METRO;R22;............;Cheptel;006;Ovins;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;NON
G_0044;2010;FR;METRO;R22;............;Cheptel;009;UGB;Indicateur;001;Nombre de structures collectives;3;OUI
G_0044;2010;FR;METRO;R22;............;Cheptel;009;UGB;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;182;OUI
G_0044;2010;FR;METRO;R22;............;Cheptel;009;UGB;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));11040;OUI
G_0044;2010;FR;METRO;R22;80;Cheptel;001;Ensemble des structures collectives;Indicateur;001;Nombre de structures collectives;11;OUI
G_0044;2010;FR;METRO;R22;80;Cheptel;001;Ensemble des structures collectives;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;3548;OUI
G_0044;2010;FR;METRO;R22;80;Cheptel;001;Ensemble des structures collectives;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));272355;OUI
G_0044;2010;FR;METRO;R22;80;Cheptel;004;Autres bovins;Indicateur;001;Nombre de structures collectives;6;OUI
G_0044;2010;FR;METRO;R22;80;Cheptel;004;Autres bovins;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;392;OUI
G_0044;2010;FR;METRO;R22;80;Cheptel;004;Autres bovins;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));24225;OUI
G_0044;2010;FR;METRO;R22;80;Cheptel;005;Equidés;Indicateur;001;Nombre de structures collectives;;NON
G_0044;2010;FR;METRO;R22;80;Cheptel;005;Equidés;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;NON
G_0044;2010;FR;METRO;R22;80;Cheptel;005;Equidés;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;NON
G_0044;2010;FR;METRO;R22;80;Cheptel;006;Ovins;Indicateur;001;Nombre de structures collectives;;NON
G_0044;2010;FR;METRO;R22;80;Cheptel;006;Ovins;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;NON
G_0044;2010;FR;METRO;R22;80;Cheptel;006;Ovins;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));;NON
G_0044;2010;FR;METRO;R22;80;Cheptel;009;UGB;Indicateur;001;Nombre de structures collectives;3;OUI
G_0044;2010;FR;METRO;R22;80;Cheptel;009;UGB;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;182;OUI
G_0044;2010;FR;METRO;R22;80;Cheptel;009;UGB;Indicateur;003;Cumul de durée de pâturage pondérée par le nombre d'animaux (unité : mois x (tête + UGB));11040;OUI
G_0044;2010;FR;METRO;R23;............;Cheptel;001;Ensemble des structures collectives;Indicateur;001;Nombre de structures collectives;;NON
G_0044;2010;FR;METRO;R23;............;Cheptel;001;Ensemble des structures collectives;Indicateur;002;Nombre d'animaux ou d'UGB déclarés;;NON
