Insee - Statistiques locales; ; 
Référentiel géographique : France par intercommunalité; ; 
Code;Libellé;Nombre (provisoire pour 2021) de décès domiciliés 2020
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;829
200043628;CC des Vallées du Clain;228
200043693;CC Terre Lorraine du Longuyonnais;171
200043776;CC Pyrénées Audoises;271
200043974;CC du Sud Gironde;383
200043982;CC du Bazadais;187
200043990;CC Vallons de Haute-Bretagne Communauté;314
200044014;CC Creuse Grand Sud;201
200044030;CC des 7 Vallées;368
200044048;CC Osartis Marquion;407
200044253;CC du Bassin de Joinville en Champagne;208
200044394;CC du Réolais en Sud Gironde;317
200044469;CC du Pays de Mirepoix;124
200044618;CA Douaisis Agglo;1628
200044691;CA du Nord Grande Terre;574
200046977;Métropole de Lyon;11329
200048551;CC du Pays de Craon;389
200049187;CA du Grand Verdun;332
200049211;CC Conflent-Canigó;284
200049484;CC Berry Grand Sud;207
200050532;CC de Petite-Terre;125
200054781;Métropole du Grand Paris;51513
200054807;Métropole d'Aix-Marseille-Provence;19044
200055481;CC Beauce Val de Loire;216
200055655;CA Roissy Pays de France;2570
200055887;CC Mayenne Communauté;398
200056232;CA Communauté Paris-Saclay;2145
200056380;CA Plaine Vallée;1617
200057859;CA Cœur d'Essonne Agglomération;1422
200057958;CA Paris - Vallée de la Marne;1473
200058360;CC Entre Beauce et Perche;227
200058477;CA Val d'Yerres Val de Seine;1596
200058485;CA Val Parisis;2175
200058519;CA Saint Germain Boucles de Seine;2648
200058782;CA de Saint-Quentin-en-Yvelines;1303
200059228;CA Grand Paris Sud Seine Essonne Sénart;2207
200059392;CC Bièvre Isère;575
200059400;CC Porte Océane du Limousin;322
200059871;CC du Centre-Ouest;179
200059889;CU Grand Paris Seine et Oise;3318
200060010;CA Mauges Communauté;1207
200060457;CA de Dembeni/Mamoudzou;339
200060465;CA du Grand Nord de Mayotte;202
200060473;CC du Sud;122
200065563;CC Normandie-Cabourg-Pays d'Auge;356
200065589;CC Val ès Dunes;123
200065597;CU Caen la Mer;2443
200065647;CA Pays de Montbéliard Agglomération;1640
200065787;CC de Pont-Audemer / Val de Risle;409
200065886;CA Loire Forez Agglomération;1294
200065894;CC de Forez-Est;715
200065928;CA Lannion-Trégor Communauté;1413
200066009;CA Mulhouse Alsace Agglomération;3048
200066017;CC Lieuvin Pays d'Auge;188
200066025;CC Pays Rhin - Brisach;312
200066033;CC Sud Alsace Largue;225
200066041;CC Sundgau;502
200066058;CA Saint-Louis Agglomération;747
200066108;CC des Portes de Meuse;220
200066116;CC Argonne-Meuse;123
200066124;CA Gaillac-Graulhet;832
200066132;CC du Pays de Stenay et du Val Dunois;179
200066140;CC de l'Aire à l'Argonne;91
200066157;CC de Commercy - Void - Vaucouleurs;305
200066165;CC Val de Meuse - Voie Sacrée;118
200066173;CC de Damvillers Spincourt;61
200066223;CC Arize Lèze;176
200066231;CC des Portes d'Ariège Pyrénées;425
200066280;CC du Pithiverais;271
200066322;CC Terres des Confluences;438
200066330;CC Terres du Haut Berry;302
200066348;CC du Minervois au Caroux;198
200066355;CA Sète Agglopôle Méditerranée;1612
200066363;CC de la Haute Ariège;90
200066371;CC Causses et Vallée de la Dordogne;649
200066389;CA Saint-Lô Agglo;811
200066405;CC Roumois Seine;337
200066413;CC Intercom Bernay Terres de Normandie;743
200066462;CC Interco Normandie Sud Eure;490
200066512;CC Élan Limousin Avenir Nature;346
200066520;CC Ouest Limousin;175
200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;124
200066561;CC Sidobre Vals et Plateaux;142
200066587;CC des Monts du Lyonnais;347
200066603;CC du Pays de Lubersac-Pompadour;113
200066637;CC Hautes Terres Communauté;233
200066645;CC Vézère-Monédières-Millesources;122
200066652;CC Grand Sud Tarn et Garonne;327
200066660;CC Saint-Flour Communauté;302
200066678;CC de la Châtaigneraie Cantalienne;314
200066710;CC Cingal-Suisse Normande;231
200066728;CC Vallées de l'Orne et de l'Odon;186
200066744;CC Haute-Corrèze Communauté;513
200066751;CC Xaintrie Val'Dordogne;164
200066769;CC Midi Corrézien;221
200066777;CC Ploërmel Communauté;605
200066785;CC de l'Oust à Brocéliande;459
200066793;CA du Grand Annecy;2026
200066801;CC Isigny-Omaha Intercom;299
200066819;CC du Volvestre;269
200066827;CC du Pays de Honfleur-Beuzeville;280
200066835;CC de Sézanne-Sud Ouest Marnais;277
200066850;CC des Paysages de la Champagne;255
200066868;CC Presqu'île de Crozon-Aulne maritime;331
200066876;CA de Châlons-en-Champagne;713
200066884;CC Quercy Vert-Aveyron;245
200066892;CC de Vendeuvre-Soulaines;104
200066918;CA Alès Agglomération;1578
200066926;CA Grand Auch Cœur de Gascogne;476
200066975;CC Senlis Sud Oise;225
200067023;CC Coutances Mer et Bocage;631
200067031;CC Côte Ouest Centre Manche;312
200067049;CC Spelunca-Liamone;117
200067064;CC Decazeville Communauté;291
200067072;CC Haut-Léon Communauté;436
200067080;CC Chablis Villages et Terroirs;202
200067106;CA du Pays Basque;3536
200067114;CA de l'Auxerrois;849
200067122;CC Coteaux et Plaines du Pays Lafrançaisain;105
200067130;CC de Puisaye-Forterre;640
200067155;CC Saint Affricain, Roquefort, Sept Vallons;196
200067163;CC Monts, Rance et Rougier;89
200067171;CC Aubrac, Carladez et Viadène;207
200067189;CC Creuse Sud Ouest;230
200067197;CC Monts d'Arrée Communauté;109
200067205;CA du Cotentin;1883
200067213;CU du Grand Reims;2558
200067239;CC des Luys en Béarn;265
200067247;CC Pleyben-Châteaulin-Porzay;248
200067254;CA Pau Béarn Pyrénées;1695
200067262;CC du Haut-Béarn;435
200067288;CC du Béarn des Gaves;274
200067296;CC du Nord Est Béarn;302
200067304;CC Serein et Armance;318
200067320;CC Serre-Ponçon Val d'Avance;64
200067346;CA Pornic Agglo Pays de Retz;716
200067361;CC Grand-Figeac;642
200067379;CC Côtes de Champagne et Val de Saulx;130
200067429;CC Haut Nivernais-Val d'Yonne;237
200067437;CA Provence-Alpes-Agglomération;592
200067445;CC Buëch-Dévoluy;121
200067452;CC du Guillestrois et du Queyras;79
200067460;CC Loudéac Communauté - Bretagne Centre;650
200067478;CC Comtal Lot et Truyère;247
200067486;CC Bouzonvillois-Trois Frontières;233
200067502;CA Saint-Avold Synergie;592
200067544;CC Creuse Confluence;300
200067551;CA Thonon Agglomération;811
200067593;CC Marche et Combraille en Aquitaine;255
200067627;CC Billom Communauté;307
200067635;CA Clisson Sèvre et Maine Agglo;463
200067643;CC Meurthe Mortagne Moselle;202
200067650;CC Houve-Pays Boulageois;258
200067668;CC de la Cléry, du Betz et de l'Ouanne;233
200067676;CC Canaux et Forêts en Gâtinais;336
200067684;CA Épernay, Coteaux et Plaine de Champagne;615
200067692;CC Tannay-Brinon-Corbigny;191
200067700;CC Sud Nivernais;302
200067742;CC Serre-Ponçon;235
200067759;CC Vallées et Plateau d'Ardenne;245
200067767;CC du Royans-Vercors;120
200067783;CC de Hanau-La Petite Pierre;342
200067791;CA Pays Foix-Varilhes;354
200067817;CC Saône-Beaujolais;441
200067825;CA Gap-Tallard-Durance;523
200067841;CC de l'Alsace Bossue;274
200067866;CC Sèvre et Loire;320
200067874;CA de Haguenau;1005
200067882;CC Bazois Loire Morvan;291
200067890;CC Morvan Sommets et Grands Lacs;242
200067908;CC Amognes Cœur du Nivernais;120
200067916;CC Cœur de Loire;381
200067924;CC du Canton d'Erstein;490
200067932;CA Golfe du Morbihan - Vannes Agglomération;1683
200067940;CC Couserans-Pyrénées;455
200067957;CC Haut Chemin-Pays de Pange;146
200067965;CA de la Région de Compiègne et de la Basse Automne;835
200067973;CC Thelloise;490
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;1088
200067999;CA du Beauvaisis;968
200068005;CC de l'Oise Picarde;198
200068047;CA Creil Sud Oise;676
200068070;CC Loue-Lison;265
200068088;CC Les Bertranges;325
200068096;CC Champsaur-Valgaudemar;139
200068104;CA de la Provence Verte;1008
200068112;CC du Pays de Saverne;346
200068120;CA Quimper Bretagne Occidentale;975
200068146;CC Sarrebourg Moselle Sud;548
200068229;CC des Baronnies en Drôme Provençale;361
200068278;CC Berry Loire Puisaye;255
200068294;CC des Deux Vallées Vertes;241
200068369;CC de Mirecourt Dompaire;283
200068377;CC de la Porte des Vosges Méridionales;425
200068435;CC Cœur du Perche;124
200068443;CC Andaine - Passais;191
200068450;CC Argentan Intercom;387
200068468;CC des Pays de L'Aigle;333
200068484;CC des Causses à l'Aubrac;218
200068500;CA de Cambrai;961
200068534;CC Terroir de Caux;356
200068542;CC Les Balcons du Dauphiné;613
200068559;CC de l'Ouest Vosgien;368
200068567;CC Les Vals du Dauphiné;553
200068625;CC Alpes-Provence-Verdon - Sources de Lumière;146
200068641;CA Le Muretain Agglo;876
200068658;CA de Chaumont;493
200068666;CA de Saint-Dizier Der et Blaise;783
200068674;CA Grand Lac;812
200068682;CC Terre d'Eau;204
200068757;CA d'Épinal;1328
200068765;CC du Sisteronais-Buëch;351
200068773;CC des Vosges côté Sud Ouest;208
200068781;CA Valence Romans Agglo;2274
200068799;CC Intercom de la Vire au Noireau;602
200068807;CC du Bassin Auterivain Haut-Garonnais;263
200068815;CC Cœur de Garonne;420
200068831;CC Pays Ségali Communauté;211
200068856;CC des Hauts du Perche;137
200068864;CC de la Mossig et du Vignoble;217
200068872;CC Éguzon - Argenton - Vallée de la Creuse;358
200068880;CC Champagne Boischauts;120
200068914;CC La Rochefoucauld porte du Périgord;302
200068922;CC du Confluent et des Coteaux de Prayssas;282
200068930;CC Fumel Vallée du Lot;331
200068948;CC Albret Communauté;409
200068955;CC Anjou Loir et Sarthe;241
200068963;CC Maine Cœur de Sarthe;187
200068989;CA Dinan Agglomération;1304
200068997;CA Arlysère;710
200069003;CC du Barséquanais en Champagne;240
200069029;CA des Deux Baies en Montreuillois;840
200069037;CA du Pays de Saint-Omer;1100
200069052;CA Grand Belfort;1093
200069060;CC des Vosges du Sud;225
200069086;CC Leff Armor Communauté;379
200069094;CC Isle et Crempse en Périgord;218
200069102;CC Randon - Margeride;72
200069110;CA du Grand Chambéry;1447
200069128;CC Mont Lozère;80
200069136;CC des Cévennes au Mont Lozère;77
200069144;CC des Hautes Terres de l'Aubrac;93
200069151;CC Gorges Causses Cévennes;105
200069169;CC Dômes Sancy Artense;142
200069177;CC Mond'Arverne Communauté;335
200069185;CC des Terres d'Apcher-Margeride-Aubrac;115
200069193;CC de la Dombes;460
200069227;CC Pays Fort Sancerrois Val de Loire;322
200069235;CC du Haut Pays du Montreuillois;182
200069250;CA Troyes Champagne Métropole;1683
200069268;CC Aubrac Lot Causses Tarn;91
200069300;CA Tarbes-Lourdes-Pyrénées;1512
200069383;CC Ouest Aveyron Communauté;368
200069391;CA Lamballe Terre et Mer;784
200069409;CA Saint-Brieuc Armor Agglomération;1691
200069417;CC Pays d'Orthe et Arrigans;250
200069425;CA Mont-Saint-Michel-Normandie;1186
200069433;CC de Vezouze en Piémont;175
200069441;CC du Pays de Bitche;422
200069458;CC des Vallées d'Auge et du Merlerault;285
200069482;CC des Campagnes de l'Artois;315
200069516;CC Seulles Terre et Mer;108
200069524;CC Pré-Bocage Intercom;262
200069532;CA Lisieux Normandie;898
200069540;CC Norge et Tille;83
200069565;CC des Lacs et Montagnes du Haut-Doubs;112
200069581;CC Convergence Garonne;254
200069599;CC Rurales de l'Entre-deux-Mers;186
200069615;CC Bresse Haute Seille;247
200069623;CC Champagnole Nozeroy Jura;307
200069631;CC Terres de Chalosse;190
200069649;CC Chalosse Tursan;328
200069656;CC Cœur Haute Lande;237
200069664;CC Meuse Rognon;174
200069672;CC du Ternois;516
200069698;CC Mâconnais - Tournugeois;183
