Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; ; 
Code;Libellé;Évol. annuelle moy. de la pop. due au solde apparent entrées/sorties 2013-2018;Évol. annuelle moy. de la population 2013 - 2019 (en %) 2019;Évol. annuelle moy. de la population 2013-2018;Évol. annuelle moy. de la pop. due au solde naturel 2013-2018
200041721;CC de la Haute Comté;-0.69;-0.9;-0.9;-0.21
200041762;CA Rochefort Océan;0.17;0;-0.1;-0.27
200041788;CA du Pays Nord Martinique;-1.25;-1.2;-1.14;0.11
200041853;CC du Pays de Montbozon et du Chanois;0.41;0.1;0.09;-0.31
200041861;CC du Triangle Vert;-0.38;-0.1;-0.19;0.2
200041879;CC Terres de Saône;-0.64;-0.5;-0.44;0.2
200041887;CC du Val Marnaysien;0.19;0.7;0.79;0.6
200041960;CC Pévèle-Carembault;0.36;0.7;0.71;0.35
200041994;CC Haut Val de Sèvre;0.66;0.7;0.78;0.12
200042000;CC Bruyères-Vallons des Vosges;-0.29;-0.5;-0.54;-0.25
200042174;CA Lorient Agglomération;0.42;0.3;0.3;-0.12
200042182;CC du Mont des Avaloirs;-0.37;-0.8;-0.79;-0.42
200042190;CA de la Porte du Hainaut;-0.41;0;-0.02;0.39
200042372;CC des Coteaux Arrats Gimone;0.87;0.6;0.6;-0.27
200042414;CC Bresse Revermont 71;0.59;0.2;0.19;-0.39
200042463;CC de la Montagne Noire;0.62;-0.1;-0.02;-0.64
200042497;CC Dombes Saône Vallée;0.98;1.4;1.42;0.43
200042604;CC de Granville, Terre et Mer;0.52;0;0;-0.52
200042620;CC de la Région de Suippes;-0.42;0;-0.03;0.39
200042646;CC Grand Orb communauté de communes en Languedoc;0.23;-0.6;-0.57;-0.8
200042653;CC Sud-Hérault;1.04;0.5;0.47;-0.57
200042703;CC de l'Argonne Champenoise;-0.12;-0.5;-0.6;-0.48
200042729;CC de la Baie du Cotentin;0.12;-0.3;-0.29;-0.42
200042901;CC Drôme Sud Provence;0.32;0.8;0.8;0.47
200042935;CA Haut - Bugey Agglomération;-0.5;-0.1;-0.15;0.35
200042943;CC du Cap Corse;0.75;-0.1;0.11;-0.64
200042992;CC Perthois-Bocage et Der;0.17;-0.1;-0.16;-0.33
200043016;CC Val de Charente;0.27;-0.5;-0.5;-0.76
200043065;CC du Val d'Amboise;-0.24;-0.3;-0.26;-0.01
200043081;CC Chinon, Vienne et Loire;0.2;0;-0.06;-0.26
200043123;CC Auray Quiberon Terre Atlantique;0.98;0.8;0.73;-0.25
200043156;CC du Pays Rethélois;0.09;0.3;0.31;0.22
200043172;CA du Bassin de Brive;0.28;0.1;0.15;-0.12
200043263;CC Cœur de l'Avesnois;-0.76;-0.7;-0.65;0.11
200043321;CC du Pays de Mormal;-0.05;0;0.01;0.06
200043354;CC de Villedieu Intercom;-0.01;-0.1;-0.11;-0.1
200043396;CA Maubeuge Val de Sambre;-0.54;-0.2;-0.2;0.34
200043404;CC du Sud Avesnois;-1.1;-1.1;-1.08;0.02
200043438;CC de la Moivre à la Coole;-0.14;-0.1;-0.1;0.04
200043495;CA du Pays de Laon;-0.61;-0.4;-0.28;0.32
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;1.12;0.5;0.54;-0.57
200043628;CC des Vallées du Clain;0.67;1;1;0.33
200043693;CC Terre Lorraine du Longuyonnais;-0.14;-0.3;-0.34;-0.2
200043776;CC Pyrénées Audoises;-0.11;-1.1;-1.18;-1.07
200043974;CC du Sud Gironde;0.68;0.7;0.73;0.05
200043982;CC du Bazadais;0.81;0.4;0.32;-0.48
200043990;CC Vallons de Haute-Bretagne Communauté;0.31;0.8;0.88;0.57
200044014;CC Creuse Grand Sud;0.05;-0.9;-0.87;-0.93
200044030;CC des 7 Vallées;0.23;0;-0.01;-0.24
200044048;CC Osartis Marquion;0.02;0.3;0.33;0.3
200044253;CC du Bassin de Joinville en Champagne;-0.91;-1.2;-1.22;-0.31
200044394;CC du Réolais en Sud Gironde;0.8;0.6;0.68;-0.12
200044469;CC du Pays de Mirepoix;0.58;0.3;0.37;-0.22
200044618;CA Douaisis Agglo;-0.51;-0.2;-0.24;0.26
200044691;CA du Nord Grande Terre;-0.66;-0.6;-0.43;0.23
200046977;Métropole de Lyon;0.05;0.9;0.91;0.86
200048551;CC du Pays de Craon;0.15;0.1;0.15;0.01
200049187;CA du Grand Verdun;-0.6;-0.6;-0.53;0.07
200049211;CC Conflent-Canigó;1.27;0.7;0.76;-0.52
200049484;CC Berry Grand Sud;-0.16;-1.1;-1.09;-0.93
200050532;CC de Petite-Terre;N/A;N/A;N/A;N/A
200054781;Métropole du Grand Paris;-0.62;0.3;0.31;0.92
200054807;Métropole d'Aix-Marseille-Provence;-0.02;0.4;0.44;0.45
200055481;CC Beauce Val de Loire;-0.3;-0.2;-0.17;0.13
200055655;CA Roissy Pays de France;-0.65;0.6;0.58;1.22
200055887;CC Mayenne Communauté;-0.45;-0.3;-0.33;0.12
200056232;CA Communauté Paris-Saclay;-0.08;0.6;0.78;0.86
200056380;CA Plaine Vallée;-0.41;0.3;0.32;0.73
200057859;CA Cœur d'Essonne Agglomération;0.04;0.9;0.88;0.84
200057958;CA Paris - Vallée de la Marne;-0.84;0.2;0.2;1.03
200058360;CC Entre Beauce et Perche;0.08;0.1;0.16;0.08
200058477;CA Val d'Yerres Val de Seine;-0.48;0.2;0.22;0.7
200058485;CA Val Parisis;0.22;1.1;1.05;0.83
200058519;CA Saint Germain Boucles de Seine;-0.47;0.3;0.17;0.64
200058782;CA de Saint-Quentin-en-Yvelines;-0.97;0.1;0.1;1.07
200059228;CA Grand Paris Sud Seine Essonne Sénart;-0.45;0.8;0.84;1.29
200059392;CC Bièvre Isère;0.48;0.7;0.7;0.21
200059400;CC Porte Océane du Limousin;0.31;-0.1;-0.07;-0.39
200059871;CC du Centre-Ouest;N/A;N/A;N/A;N/A
200059889;CU Grand Paris Seine et Oise;-0.33;0.7;0.65;0.99
200060010;CA Mauges Communauté;-0.23;0;0.13;0.37
200060457;CA de Dembeni/Mamoudzou;N/A;N/A;N/A;N/A
200060465;CA du Grand Nord de Mayotte;N/A;N/A;N/A;N/A
200060473;CC du Sud;N/A;N/A;N/A;N/A
200065563;CC Normandie-Cabourg-Pays d'Auge;0.45;0.2;0.21;-0.24
200065589;CC Val ès Dunes;0.7;1.2;1.2;0.5
200065597;CU Caen la Mer;0.25;0.6;0.53;0.28
200065647;CA Pays de Montbéliard Agglomération;-0.4;-0.1;-0.17;0.23
200065787;CC de Pont-Audemer / Val de Risle;-0.04;0;0.04;0.08
200065886;CA Loire Forez Agglomération;0.45;0.6;0.6;0.15
200065894;CC de Forez-Est;0.32;0.4;0.47;0.15
200065928;CA Lannion-Trégor Communauté;0.48;-0.1;-0.12;-0.59
200066009;CA Mulhouse Alsace Agglomération;-0.44;0;0.01;0.45
200066017;CC Lieuvin Pays d'Auge;0.23;0.5;0.59;0.36
200066025;CC Pays Rhin - Brisach;0.18;0.5;0.47;0.29
200066033;CC Sud Alsace Largue;0.14;0.3;0.29;0.15
200066041;CC Sundgau;-0.05;0;-0.01;0.04
200066058;CA Saint-Louis Agglomération;0.8;1.2;1.14;0.34
200066108;CC des Portes de Meuse;-0.82;-0.9;-0.87;-0.05
200066116;CC Argonne-Meuse;-0.24;-0.9;-0.85;-0.6
200066124;CA Gaillac-Graulhet;1.18;1.1;1.16;-0.02
200066132;CC du Pays de Stenay et du Val Dunois;-0.71;-1.1;-1.18;-0.47
200066140;CC de l'Aire à l'Argonne;-0.38;-0.4;-0.34;0.04
200066157;CC de Commercy - Void - Vaucouleurs;-1.06;-1;-1.1;-0.04
200066165;CC Val de Meuse - Voie Sacrée;0.33;0.4;0.59;0.26
200066173;CC de Damvillers Spincourt;-0.48;-0.4;-0.39;0.09
200066223;CC Arize Lèze;0.84;0.2;0.23;-0.61
200066231;CC des Portes d'Ariège Pyrénées;0.28;0.4;0.39;0.11
200066280;CC du Pithiverais;-0.17;0.1;0.13;0.3
200066322;CC Terres des Confluences;0.43;0.6;0.55;0.12
200066330;CC Terres du Haut Berry;0.27;0.3;0.37;0.1
200066348;CC du Minervois au Caroux;0.53;-0.2;-0.1;-0.63
200066355;CA Sète Agglopôle Méditerranée;0.29;0.3;0.23;-0.06
200066363;CC de la Haute Ariège;-0.1;-0.8;-0.83;-0.74
200066371;CC Causses et Vallée de la Dordogne;0.41;-0.3;-0.24;-0.65
200066389;CA Saint-Lô Agglo;-0.1;0;-0.02;0.08
200066405;CC Roumois Seine;0.71;1.1;1.14;0.43
200066413;CC Intercom Bernay Terres de Normandie;0.04;-0.1;-0.08;-0.12
200066462;CC Interco Normandie Sud Eure;0.07;-0.2;-0.07;-0.14
200066512;CC Élan Limousin Avenir Nature;0.35;0;0.06;-0.28
200066520;CC Ouest Limousin;0.45;-0.3;-0.23;-0.67
200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;0.81;-0.1;-0.05;-0.87
200066561;CC Sidobre Vals et Plateaux;0.04;-0.5;-0.36;-0.4
200066587;CC des Monts du Lyonnais;-0.05;0.3;0.36;0.4
200066603;CC du Pays de Lubersac-Pompadour;0.58;-0.4;-0.39;-0.97
200066637;CC Hautes Terres Communauté;0.59;-0.5;-0.61;-1.2
200066645;CC Vézère-Monédières-Millesources;1.73;-0.2;-0.15;-1.88
200066652;CC Grand Sud Tarn et Garonne;0.73;1.3;1.25;0.52
200066660;CC Saint-Flour Communauté;0.08;-0.2;-0.31;-0.39
200066678;CC de la Châtaigneraie Cantalienne;0.45;-0.2;-0.16;-0.61
200066710;CC Cingal-Suisse Normande;0.43;0.8;0.83;0.41
200066728;CC Vallées de l'Orne et de l'Odon;0.66;1.2;1.24;0.58
200066744;CC Haute-Corrèze Communauté;0.45;-0.4;-0.33;-0.78
200066751;CC Xaintrie Val'Dordogne;0.51;-0.7;-0.69;-1.2
200066769;CC Midi Corrézien;0.55;-0.2;-0.18;-0.73
200066777;CC Ploërmel Communauté;0.19;-0.1;-0.12;-0.32
200066785;CC de l'Oust à Brocéliande;0.06;0.1;0.04;-0.02
200066793;CA du Grand Annecy;0.68;1.2;1.15;0.48
200066801;CC Isigny-Omaha Intercom;-0.3;-0.4;-0.44;-0.13
200066819;CC du Volvestre;0.77;0.8;0.91;0.14
200066827;CC du Pays de Honfleur-Beuzeville;0.11;0.1;0.23;0.12
200066835;CC de Sézanne-Sud Ouest Marnais;-0.33;-0.5;-0.47;-0.14
200066850;CC des Paysages de la Champagne;-0.27;-0.3;-0.31;-0.04
200066868;CC Presqu'île de Crozon-Aulne maritime;-0.05;-0.6;-0.59;-0.53
200066876;CA de Châlons-en-Champagne;-0.56;-0.1;-0.16;0.4
200066884;CC Quercy Vert-Aveyron;0.78;0.8;0.79;0.01
200066892;CC de Vendeuvre-Soulaines;-0.2;-0.5;-0.46;-0.26
200066918;CA Alès Agglomération;0.46;0.4;0.27;-0.19
200066926;CA Grand Auch Cœur de Gascogne;0.39;0.1;0.17;-0.22
200066975;CC Senlis Sud Oise;-1;-0.7;-0.67;0.33
200067023;CC Coutances Mer et Bocage;0.1;-0.2;-0.21;-0.3
200067031;CC Côte Ouest Centre Manche;0.13;-0.3;-0.3;-0.43
200067049;CC Spelunca-Liamone;0.78;-0.1;0.06;-0.72
200067064;CC Decazeville Communauté;-0.32;-1.1;-1.15;-0.83
200067072;CC Haut-Léon Communauté;0.37;0;-0.15;-0.52
200067080;CC Chablis Villages et Terroirs;-0.15;-0.6;-0.6;-0.45
200067106;CA du Pays Basque;1.07;0.9;0.9;-0.18
200067114;CA de l'Auxerrois;-0.11;-0.2;-0.1;0
200067122;CC Coteaux et Plaines du Pays Lafrançaisain;0.14;0.3;0.23;0.09
200067130;CC de Puisaye-Forterre;-0.11;-0.9;-0.96;-0.85
200067155;CC Saint Affricain, Roquefort, Sept Vallons;0.07;-0.3;-0.29;-0.36
200067163;CC Monts, Rance et Rougier;0.59;-0.3;-0.3;-0.89
200067171;CC Aubrac, Carladez et Viadène;0.88;-0.3;-0.28;-1.16
200067189;CC Creuse Sud Ouest;0.42;-0.6;-0.66;-1.08
