"Libellé";"idBank";"Dernière mise à jour";"Période";"1901";"1902";"1903";"1904";"1905";"1906";"1907";"1908";"1909";"1910";"1911";"1912";"1913";"1914";"1915";"1916";"1917";"1918";"1919";"1920";"1921";"1922";"1923";"1924";"1925";"1926";"1927";"1928";"1929";"1930";"1931";"1932";"1933";"1934";"1935";"1936";"1937";"1938";"1939";"1940";"1941";"1942";"1943";"1944";"1945";"1946";"1947";"1948";"1949";"1950";"1951";"1952";"1953";"1954";"1955";"1956";"1957";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Population totale au 1er janvier - France métropolitaine";"000067670";"18/01/2022 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40125230";"40448254";"40910569";"41313195";"41647258";"42010088";"42300981";"42618354";"42885138";"43227872";"43627467";"44058683";"44563043";"45014662";"45464797";"45903656";"46422000";"47573406";"48059029";"48561800";"48953792";"49373537";"49723072";"50107735";"50528219";"51016234";"51485953";"51915873";"52320725";"52600000";"52798338";"53019005";"53271566";"53481073";"53731387";"54028630";"54335000";"54649984";"54894854";"55157303";"55411238";"55681780";"55966142";"56269810";"56577000";"56840661";"57110533";"57369161";"57565008";"57752535";"57935959";"58116018";"58298962";"58496613";"58858198";"59266572";"59685899";"60101841";"60505421";"60963264";"61399733";"61795238";"62134866";"62465709";"62765235";"63070344";"63375971";"63697865";"64027958";"64300821";"64468792";"64639133";"64844037";"65096768";"65284389";"65447454";"65627454"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P"
"Population totale au 1er janvier - France (inclus Mayotte à partir de 2014)";"001641586";"18/01/2022 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"55572624";"55905460";"56166175";"56444748";"56719935";"57012268";"57325053";"57659542";"57996401";"58280135";"58571237";"58852002";"59070077";"59280577";"59487413";"59691177";"59899347";"60122665";"60508150";"60941410";"61385070";"61824030";"62251062";"62730537";"63186117";"63600690";"63961859";"64304500";"64612939";"64933400";"65241241";"65564756";"66130873";"66422469";"66602645";"66774482";"66992159";"67257982";"67454122";"67626396";"67813396"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P"
"Population au 1er janvier - Hommes - Moins de 15 ans - France métropolitaine";"001686784";"18/01/2022 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4341199";"4411244";"4525043";"4643400";"4755409";"4880335";"4993160";"5107678";"5217479";"5335817";"5484437";"5659080";"5820755";"5944471";"6074169";"6196016";"6233219";"6312326";"6336127";"6359916";"6362359";"6383102";"6382547";"6401323";"6418238";"6445316";"6480157";"6504033";"6511625";"6469442";"6426669";"6364883";"6320191";"6253502";"6193763";"6161342";"6133284";"6118246";"6077729";"6034843";"5988989";"5936121";"5879948";"5840091";"5825950";"5833597";"5851110";"5846153";"5827481";"5797225";"5753770";"5714442";"5677156";"5670252";"5690404";"5717861";"5731275";"5741079";"5743711";"5752594";"5763808";"5797150";"5822253";"5867279";"5907101";"5941265";"5973817";"6011490";"6027041";"6032124";"6002321";"5972195";"5949101";"5921571";"5882684";"5843212";"5792340"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P"
"Population au 1er janvier - Hommes - Moins de 20 ans - France métropolitaine";"001686785";"18/01/2022 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5972344";"6041163";"6169533";"6270028";"6369424";"6450394";"6524893";"6601236";"6688258";"6783368";"6903839";"7038887";"7194933";"7331768";"7473291";"7637936";"7835840";"8105601";"8264240";"8420382";"8545090";"8572004";"8556725";"8534949";"8529220";"8546076";"8590195";"8623287";"8648742";"8623235";"8587539";"8535010";"8490408";"8439834";"8394805";"8377919";"8354781";"8343002";"8290504";"8235204";"8187226";"8146606";"8110575";"8079276";"8039675";"7981366";"7915208";"7842409";"7765056";"7714652";"7700740";"7700939";"7685889";"7682497";"7695796";"7706472";"7717913";"7731264";"7766148";"7796359";"7814800";"7838862";"7850203";"7864098";"7882609";"7901666";"7908343";"7939908";"7977349";"8006756";"8004668";"7992828";"7990698";"7983456";"7955389";"7910817";"7873300"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P"
"Population au 1er janvier - Hommes - De 20 à 59 ans - France métropolitaine";"001686786";"18/01/2022 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10501377";"10590786";"10721341";"10818245";"10904179";"11019702";"11107289";"11197515";"11257453";"11332508";"11409127";"11466613";"11529422";"11568030";"11588381";"11582648";"11564373";"11782215";"11804711";"11825989";"11831678";"11945367";"12076550";"12241138";"12436437";"12629901";"12790659";"12925116";"13070066";"13188617";"13350018";"13574902";"13791039";"13978273";"14158118";"14222607";"14316174";"14395708";"14488316";"14588650";"14678895";"14771251";"14860636";"14951116";"15055943";"15148409";"15258210";"15366832";"15461422";"15515692";"15549034";"15573867";"15618158";"15663652";"15754409";"15883622";"16028451";"16146421";"16228093";"16317284";"16412234";"16422379";"16393318";"16357834";"16316169";"16276697";"16257482";"16233475";"16199977";"16135172";"16067115";"16008860";"15974444";"15967310";"15939934";"15943939";"15939310"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P"
